"Source:","/home/jmux/Github/spotify-iot-led-driver/iot_leddriver_hw/iot_led_strip_pcb.kicad_sch"
"Date:","Sun 17 Sep 2023 01:23:37 PM PDT"
"Tool:","Eeschema 7.0.6-1.fc37"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","LCSC","Sim.Device","Sim.Params","Sim.Pins","Sim.Type","Vendor"
"1","6","C1, C2, C3, C5, C7, C13","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C15850","","","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM21BR61C106KE15L_C77075.html"
"2","3","C4, C6, C12","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C49678","","","","","https://jlcpcb.com/partdetail/Yageo-CC0805KRX7R9BB104/C49678"
"3","2","C8, C9","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C1804","","","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805CG220J500NT_C24658.html"
"4","2","C10, C11","22pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C1804","","","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805CG220J500NT_C24658.html"
"5","2","D1, D2","SMF5V0A","Diode:SMF5V0A","Diode_SMD:D_SMF","https://www.vishay.com/doc?85881","","C1972946","","","","",""
"6","1","D3","1N5819WS","Device:D_Schottky","Diode_SMD:D_SOD-323_HandSoldering","~","","C191023","","","","",""
"7","1","D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","C84256","","","","","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"8","1","D5","PWR_LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","C84256","","","","","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"9","1","J3","GT-USB-7010ASV","gt-usb_lib:GT-USB-7010ASV","footprint:USB-C-SMD_G-SWITCH_GT-USB-7010ASV","https://atta.szlcsc.com/upload/public/pdf/source/20220407/8043DBBC37E1BDE9D4FD36EE7A4A9BB9.pdf","","C2988369","","","","","https://www.lcsc.com/product-detail/USB-Connectors_G-Switch-GT-USB-7010ASV_C2988369.html"
"10","1","J4","Barrel_Jack_Switch_Pin3Ring","Connector:Barrel_Jack_Switch_Pin3Ring","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","","","V","dc=5","1=+ 2=-","DC",""
"11","1","Q1","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","C358381","","","","","https://jlcpcb.com/partdetail/Foshan_Blue_RocketElec-BSS138/C358381"
"12","4","R1, R2, R4, R5","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","C17414","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRQ0805F1002TS_C5159708.html"
"13","2","R3, R10","27R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","C27834","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_VO-0805-5-470_C2889528.html"
"14","2","R6, R7","0R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","C17414","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRQ0805F1002TS_C5159708.html"
"15","2","R8, R9","5.1k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","C27834","","","","","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_VO-0805-5-470_C2889528.html"
"16","2","R11, R12","100","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","C17408","","","","","https://jlcpcb.com/partdetail/18096-0805W8F1000T5E/C17408"
"17","1","SW1","RESET","C5117870_lib:GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","https://item.szlcsc.com/902766.html","","C318884","","","","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"18","1","SW2","FLASH","C5117870_lib:GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","https://item.szlcsc.com/902766.html","","C318884","","","","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"19","1","U1","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","C6186","","","","","https://www.lcsc.com/product-detail/Linear-span-style-background-color-ff0-Voltage-span-Regulators-LDO_UMW-Youtai-Semiconductor-Co-Ltd-AMS1117-3-3_C347222.html"
"20","1","U2","ESP32-S2-MINI-1","PCM_Espressif:ESP32-S2-MINI-1","PCM_Espressif:ESP32-S2-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-s2-mini-1_esp32-s2-mini-1u_datasheet_en.pdf","","C3013906","","","","",""
"21","1","Y1","Crystal_40Mhz","Device:Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","~","","C2901712","","","","","https://jlcpcb.com/partdetail/3151525-SX3B40000F1210F30/C2901712"
