"Source:","/home/jmux/Documents/ae.projects/iot_led_driver/iot_led_strip_pcb/iot_led_strip_pcb.kicad_sch"
"Date:","Tue 01 Aug 2023 10:57:08 PM PDT"
"Tool:","Eeschema 6.0.11-3.fc37"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","51"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C7, C10, ","3","100nF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805B104K500NT_C38141.html"
"C2, C3, ","2","22pF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805CG220J500NT_C24658.html"
"C4, C5, C6, C8, C9, C11, C12, C13, C14, ","9","10uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM21BR61C106KE15L_C77075.html"
"D1, ","1","LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"D3, ","1","PWR_LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"D4, ","1","SMF18A","SMF18A","Diode_SMD:D_SMF","200W unidirectional Transil Transient Voltage Suppressor, 18Vrwm, SMF",""
"D5, D6, ","2","SMF5V0A","SMF5V0A","Diode_SMD:D_SMF","200W unidirectional Transil Transient Voltage Suppressor, 5Vrwm, SMF",""
"J1, ","1","GT-USB-7010ASV","GT-USB-7010ASV","footprint:USB-C-SMD_G-SWITCH_GT-USB-7010ASV","","https://www.lcsc.com/product-detail/USB-Connectors_G-Switch-GT-USB-7010ASV_C2988369.html"
"J2, J3, ","2","DC-470-2_1GP","DC-470-2_1GP","footprint:DC-IN-TH_DC-470-2.1GP","","https://www.lcsc.com/product-detail/AC-span-style-background-color-ff0-DC-span-span-style-background-color-ff0-Power-span-Connectors_GANGYUAN-DC-470-2-1GP_C194407.html"
"J6, ","1","Conn_01x03","Conn_01x03","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.8mm_D0.9mm_OD2.3mm_Relief","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, Q2, ","2","S8050_C105433","S8050_C105433","footprint:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","","https://www.lcsc.com/product-detail/Bipolar-Transistors-BJT_Jiangsu-Changjing-Electronics-Technology-Co-Ltd-S8050_C105433.html"
"Q3, Q4, Q5, ","3","UMW30N06","UMW30N06","Package_TO_SOT_SMD:TO-252-2","",""
"R1, R2, R5, R6, R7, R10, R11, ","7","10k","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, US symbol","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRQ0805F1002TS_C5159708.html"
"R3, R4, ","2","5.1k","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, US symbol","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_VO-0805-5-470_C2889528.html"
"R8, R9, R12, ","3","470","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, US symbol","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_VO-0805-5-470_C2889528.html"
"R13, ","1","100","R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, US symbol","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_VO-0805-5-470_C2889528.html"
"SW1, ","1","RESET","GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"SW2, ","1","FLASH","GT-TC060A-H025-L1","Button_Switch_SMD:SW_SPST_TL3342","","https://www.lcsc.com/product-detail/Tactile-Switches_G-Switch-GT-TC060A-H025-L1_C5117870.html"
"U1, ","1","CH340G","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","USB serial converter, UART, SOIC-16","https://www.lcsc.com/product-detail/USB-ICs_WCH-Jiangsu-Qin-Heng-CH340G_C14267.html"
"U3, ","1","ESP-12E","ESP-12E","RF_Module:ESP-12E","802.11 b/g/n Wi-Fi Module",""
"U4, ","1","AMS1117-5.0","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 5.0V fixed output, SOT-223","https://www.lcsc.com/product-detail/Linear-Voltage-Regulators-LDO_WPMtek-Wei-Pan-Microelectronics-AMS1117-5-0_C2909825.html"
"U5, ","1","AMS1117-3.3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","https://www.lcsc.com/product-detail/Linear-span-style-background-color-ff0-Voltage-span-Regulators-LDO_UMW-Youtai-Semiconductor-Co-Ltd-AMS1117-3-3_C347222.html"
"U6, U7, U8, ","3","MCP1416","MCP1416","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","1.5A High speed power MOSFET driver with non-inverting output, SOT-23-5",""
"Y1, ","1","Crystal_12MHz","Crystal_GND24","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","Four pin crystal, GND on pins 2 and 4","https://www.lcsc.com/product-detail/Crystals_Yangxing-Tech-XL2EL89CSI-111YLC-12M_C5280576.html"
