"Reference","Value","Footprint","Datasheet","Description","LCSC","Vendor","Qty"
"C1-C3, C5, C7, C13","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C15850","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM21BR61C106KE15L_C77075.html","6"
"C4, C6, C12","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","-- mixed values --","-- mixed values --","3"
"C8, C9","47pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C1804","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805CG220J500NT_C24658.html","2"
"C10, C11","22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","C1804","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805CG220J500NT_C24658.html","2"
"D1, D2","SMF5V0A","Diode_SMD:D_SMF","https://www.vishay.com/doc?85881","","C1972946","","2"
"D3","1N5819WS","Diode_SMD:D_SOD-323_HandSoldering","~","","C191023","","1"
"D4","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","C84256","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html","1"
"D5","PWR_LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","C84256","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html","1"
"FID1-FID3","Fiducial","Fiducial:Fiducial_0.5mm_Mask1mm","~","","","","3"
"H1-H4","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~","","","~","4"
"J1","I2C Expansion","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","~","1"
"J2","Conn_01x03_Socket","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","1"
"J3","GT-USB-7010ASV","footprint:USB-C-SMD_G-SWITCH_GT-USB-7010ASV","https://atta.szlcsc.com/upload/public/pdf/source/20220407/8043DBBC37E1BDE9D4FD36EE7A4A9BB9.pdf","","C2988369","https://www.lcsc.com/product-detail/USB-Connectors_G-Switch-GT-USB-7010ASV_C2988369.html","1"
"J4","Barrel_Jack_Switch_Pin3Ring","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","","","","1"
"J5","TC2050-IDC_Cortex-M","Connector:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/2019/12/TC2030-IDC-NL-Datasheet-Rev-B.pdf","","","","1"
"J6","Conn_01x03_Socket_Solderwire","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm_Relief","~","","","","1"
"JP1, JP6","SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","2"
"JP3","USB PWR","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","1"
"JP4","Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","1"
"JP7","JTAG-VT_{ref}","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","1"
"Q1","BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","","1"
"R1, R2, R4, R5","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","C17414","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRQ0805F1002TS_C5159708.html","4"
"R3, R10","27R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","C27834","https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_VO-0805-5-470_C2889528.html","2"
