Designator,Mid X,Mid Y,Rotation,Layer
C1,67.0,-8.3625,270.0,top
C10,19.9,-42.0,90.0,top
C11,22.102,-42.0,90.0,top
C12,20.5625,-24.7,180.0,top
C13,20.5625,-32.8,180.0,top
C14,20.4,-16.5,180.0,top
C15,71.6,-30.5375,90.0,top
C16,37.2625,-33.6,180.0,top
C2,52.4375,-7.7468,0.0,top
C3,52.4,-15.7468,180.0,top
C4,28.1,-26.5,0.0,top
C5,66.8,-30.5625,90.0,top
C6,69.2,-30.5625,90.0,top
C7,37.225,-31.0,180.0,top
C8,41.5875,-33.6,0.0,top
C9,41.625,-31.0,0.0,top
D1,15.275,-11.6,0.0,top
D3,15.275,-9.3,0.0,top
D4,73.8,-34.2,180.0,top
D5,30.86097,-32.28125,90.0,top
D6,33.6625,-32.28125,90.0,top
D7,60.15,-32.2,180.0,top
D8,28.5625,-32.43125,270.0,top
FID1,75.0,-40.0,0.0,top
FID2,5.0,-10.0,0.0,top
FID3,75.0,-10.0,0.0,top
J1,74.900076,-17.750038,90.0,top
J2,63.35,-35.65,0.0,top
J3,50.35,-35.65,0.0,top
J4,2.5,-36.5,180.0,top
J5,32.36,-27.4,90.0,top
J7,2.5,-18.2,180.0,top
JP1,75.644881,-28.095117,180.0,top
JP4,10.8,-10.8,270.0,top
Q1,54.15,-20.2,270.0,top
Q2,62.15,-20.2,270.0,top
Q3,12.7,-27.9,180.0,top
Q4,12.7,-35.4,180.0,top
Q5,12.725,-20.575,180.0,top
R1,58.15,-18.7,0.0,top
R10,51.15,-20.2,270.0,top
R11,65.45,-20.7,90.0,top
R12,19.3,-9.3,0.0,top
R13,19.3,-11.6,0.0,top
R14,20.5,-30.7,180.0,top
R15,20.2,-38.7,180.0,top
R16,20.5,-22.4,180.0,top
R2,58.15,-21.2,180.0,top
R3,69.644881,-14.555117,90.0,top
R4,69.644881,-20.555117,270.0,top
R5,46.1,-18.7,180.0,top
R6,23.4325,-11.7245,270.0,top
R7,46.1,-21.0,180.0,top
R8,58.8,-5.0,180.0,top
R9,58.8,-3.0,180.0,top
SW1,51.15,-26.2,180.0,top
SW2,60.65,-26.2,180.0,top
U1,60.175,-11.475,270.0,top
U3,33.9325,-12.2245,0.0,top
U4,39.35,-40.35,90.0,top
U5,27.4,-40.35,90.0,top
U6,21.0,-27.7,180.0,top
U7,21.1,-35.75,180.0,top
U8,20.9,-19.5,180.0,top
Y1,52.4,-11.7468,270.0,top
